treatments,,,,,,,
id,organism,control,time,abundance,logscale,treatment,algalHost
Steenhauer2016,V,FALSE,9.85E-03,7504123.969,TRUE,Replete,Cylindrospermopsis raciborskii
Steenhauer2016,V,FALSE,16.0339,4993441.887,TRUE,Replete,Cylindrospermopsis raciborskii
Steenhauer2016,V,FALSE,19.9987,5140436.516,TRUE,Replete,Cylindrospermopsis raciborskii
Steenhauer2016,V,FALSE,24.0796,13283117.06,TRUE,Replete,Cylindrospermopsis raciborskii
Steenhauer2016,V,FALSE,28.0456,17631935.97,TRUE,Replete,Cylindrospermopsis raciborskii
Steenhauer2016,V,FALSE,32.1302,96050581.84,TRUE,Replete,Cylindrospermopsis raciborskii
Steenhauer2016,V,FALSE,36.1686,3925545360,TRUE,Replete,Cylindrospermopsis raciborskii
Steenhauer2016,V,FALSE,40.0244,7045308261,TRUE,Replete,Cylindrospermopsis raciborskii
Steenhauer2016,V,FALSE,44.101,7485141246,TRUE,Replete,Cylindrospermopsis raciborskii
Steenhauer2016,V,FALSE,48.1245,13864365533,TRUE,Replete,Cylindrospermopsis raciborskii
Steenhauer2016,V,FALSE,52.1414,6559942007,TRUE,Replete,Cylindrospermopsis raciborskii
Steenhauer2016,V,FALSE,56.1046,4916997642,TRUE,Replete,Cylindrospermopsis raciborskii
Steenhauer2016,H,TRUE,0,13668.7797,FALSE,Replete,Cylindrospermopsis raciborskii
Steenhauer2016,H,TRUE,16.0292,31101.4263,FALSE,Replete,Cylindrospermopsis raciborskii
Steenhauer2016,H,TRUE,19.9676,71909.6672,FALSE,Replete,Cylindrospermopsis raciborskii
Steenhauer2016,H,TRUE,24.0032,45166.4025,FALSE,Replete,Cylindrospermopsis raciborskii
Steenhauer2016,H,TRUE,27.9579,63094.2948,FALSE,Replete,Cylindrospermopsis raciborskii
Steenhauer2016,H,TRUE,32.0097,51406.4976,FALSE,Replete,Cylindrospermopsis raciborskii
Steenhauer2016,H,TRUE,35.9806,83300.317,FALSE,Replete,Cylindrospermopsis raciborskii
Steenhauer2016,H,TRUE,39.9676,52694.1363,FALSE,Replete,Cylindrospermopsis raciborskii
Steenhauer2016,H,TRUE,44.0194,51307.4485,FALSE,Replete,Cylindrospermopsis raciborskii
Steenhauer2016,H,TRUE,47.9579,1.16E+05,FALSE,Replete,Cylindrospermopsis raciborskii
Steenhauer2016,H,TRUE,51.9773,1.33E+05,FALSE,Replete,Cylindrospermopsis raciborskii
Steenhauer2016,H,TRUE,55.9481,1.58E+05,FALSE,Replete,Cylindrospermopsis raciborskii
Steenhauer2016,H,FALSE,0.0711,13911.3992,FALSE,Replete,Cylindrospermopsis raciborskii
Steenhauer2016,H,FALSE,16.0262,49297.6768,FALSE,Replete,Cylindrospermopsis raciborskii
Steenhauer2016,H,FALSE,20.0474,71988.1145,FALSE,Replete,Cylindrospermopsis raciborskii
Steenhauer2016,H,FALSE,24.0553,1.19E+05,FALSE,Replete,Cylindrospermopsis raciborskii
Steenhauer2016,H,FALSE,28.0529,1.37E+05,FALSE,Replete,Cylindrospermopsis raciborskii
Steenhauer2016,H,FALSE,32.0594,1.19E+05,FALSE,Replete,Cylindrospermopsis raciborskii
Steenhauer2016,H,FALSE,36.0443,1.01E+05,FALSE,Replete,Cylindrospermopsis raciborskii
Steenhauer2016,H,FALSE,40.0335,32414.9109,FALSE,Replete,Cylindrospermopsis raciborskii
Steenhauer2016,H,FALSE,44.0593,5672.6094,FALSE,Replete,Cylindrospermopsis raciborskii
Steenhauer2016,H,FALSE,48.0724,5132.3609,FALSE,Replete,Cylindrospermopsis raciborskii
Steenhauer2016,H,FALSE,52.0626,2296.0562,FALSE,Replete,Cylindrospermopsis raciborskii
Steenhauer2016,H,FALSE,56.0529,1,FALSE,Replete,Cylindrospermopsis raciborskii
Slagter2016,H,TRUE,0.0231,8.63E+05,FALSE,Fe Limited, Phaeocystis globosa
Slagter2016,H,TRUE,3.9284,1.04E+06,FALSE,Fe Limited, Phaeocystis globosa
Slagter2016,H,TRUE,8.002,9.43E+05,FALSE,Fe Limited, Phaeocystis globosa
